violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
METER EXPIRED CC,2017-03-02T11:49:00Z,36,PPA,39.946793,-75.157483,19107
OVER TIME LIMIT CC,2017-01-16T14:25:00Z,36,PPA,39.9405833615296,-75.1496300609466,19147
METER EXPIRED,2017-03-17T16:28:00Z,26,PPA,40.039323,-75.07763,19149
BUS ONLY ZONE,2017-03-04T22:06:00Z,51,PPA,39.979408,-75.162883,19121
SIDEWALK,2017-01-22T07:29:00Z,51,PPA,39.92906,-75.15383,19147
FIRE HYDRANT,2017-02-23T00:52:00Z,76,POLICE,40.0112041558039,-75.1627468722731,NA
METER EXPIRED CC,2017-01-27T14:54:00Z,36,PPA,39.9514888083978,-75.1784033466446,19103
PARKING PROHBITED,2017-01-18T08:07:00Z,41,PPA,40.027302,-75.218605,19128
METER EXPIRED,2017-02-01T09:37:00Z,26,PPA,40.02614,-75.22559,19127
METER EXPIRED,2017-02-23T11:45:00Z,26,PPA,40.038498,-75.130032,19120
METER EXPIRED,2017-01-16T10:26:00Z,26,PPA,39.9600835462537,-75.2255387715659,19139
CORNER CLEARANCE,2017-03-19T19:11:00Z,51,PPA,39.927145,-75.155632,19148
HP RESERVED SPACE,2017-02-14T13:22:00Z,301,PPA,39.953498,-75.154945,19107
PARKING PROHBITED,2017-03-01T09:05:00Z,41,POLICE,40.0026682828168,-75.2148649535111,NA
PARKING PROHBITED CC,2017-01-13T09:09:00Z,51,PPA,39.9499024372517,-75.1624577526537,19107
METER EXPIRED,2017-03-24T13:44:00Z,26,PPA,40.060362,-75.166747,19138
METER EXPIRED CC,2017-01-25T16:37:00Z,36,PPA,39.94663,-75.156317,19107
METER EXPIRED,2017-02-24T20:57:00Z,26,PPA,40.00864,-75.151235,19140
OVER TIME LIMIT,2017-01-05T14:11:00Z,26,PPA,39.939778766145,-75.1579032229745,19147
OVER TIME LIMIT,2017-01-09T14:00:00Z,26,PPA,39.939778766145,-75.1579032229745,19147
CORNER CLEARANCE,2017-01-02T22:45:00Z,51,POLICE,40.0401498950189,-75.1225081697424,19120
METER EXPIRED CC,2017-03-23T17:45:00Z,36,PPA,39.942312,-75.154588,19147
METER EXPIRED CC,2017-03-24T15:02:00Z,36,PPA,39.94154,-75.148653,19147
METER EXPIRED,2017-03-24T16:33:00Z,26,PPA,40.040083,-75.076873,19149
METER EXPIRED CC,2017-01-11T13:17:00Z,36,PPA,39.9523955087185,-75.1432062517509,19106
METER EXPIRED CC,2017-01-25T12:31:00Z,36,PPA,39.95216,-75.143467,19106
METER EXPIRED CC,2017-02-01T11:57:00Z,36,PPA,39.952165,-75.143217,19106
METER EXPIRED CC,2017-03-08T13:14:00Z,36,PPA,39.95171,-75.142195,19106
STOP MEDIAL STRIP,2017-02-15T15:35:00Z,31,PPA,39.949237,-75.164643,NA
PARKING PROHBITED CC,2017-01-19T18:36:00Z,51,POLICE,39.949323742726,-75.1515526046383,NA
HP RAMP BLOCKED,2017-03-03T12:37:00Z,76,PPA,39.946802,-75.174762,19103
OVER TIME LIMIT CC,2017-03-03T11:04:00Z,36,PPA,39.947085,-75.180763,19146
FIRE HYDRANT,2017-02-14T14:10:00Z,76,PPA,40.034665,-75.04463,19135
EXPIRED INSPECTION,2017-02-23T09:39:00Z,41,PPA,39.949705,-75.168545,19103
OVER TIME LIMIT CC,2017-03-08T16:50:00Z,36,PPA,39.945027,-75.148695,19106
PARKING PROHBITED,2017-03-23T23:45:00Z,41,POLICE,40.1136435568389,-75.030967979041293,NA
METER EXPIRED CC,2017-01-12T10:11:00Z,36,PPA,39.949519320052,-75.1531278151847,19106
BUS ONLY ZONE,2017-03-06T12:53:00Z,51,PPA,40.03546,-75.081177,19149
METER EXPIRED CC,2017-01-30T15:04:00Z,36,PPA,39.9409728836385,-75.1493256201701,19147
EXPIRED INSPECTION,2017-01-12T16:53:00Z,41,PPA,39.9613129267395,-75.1605161549077,19123
METER EXPIRED,2017-03-16T13:36:00Z,26,PPA,39.953065,-75.203442,19104
OVER TIME LIMIT,2017-03-08T12:52:00Z,26,PPA,39.950920000000004,-75.217363,19143
OVER TIME LIMIT,2017-03-29T10:04:00Z,26,PPA,39.95095,-75.218017,19143
METER EXPIRED CC,2017-03-31T14:28:00Z,36,PPA,39.955773,-75.17121,19103
OVER TIME LIMIT,2017-02-22T13:03:00Z,26,PPA,39.960955,-75.19626,19104
METER EXPIRED CC,2017-01-14T17:17:00Z,36,PPA,39.9537236639624,-75.1994551039944,19104
EXPIRED INSPECTION,2017-02-16T11:48:00Z,41,PPA,39.917405,-75.172388,NA
EXPIRED INSPECTION,2017-01-30T13:57:00Z,41,PPA,39.9614263770541,-75.1448924103985,19123
OVER TIME LIMIT,2017-02-08T13:58:00Z,26,PPA,39.983908,-75.15787,19121
STOPPING PROHIBITED,2017-02-27T07:06:00Z,51,PPA,39.98356,-75.156975,19121
OVER TIME LIMIT CC,2017-01-25T13:22:00Z,36,PPA,39.9452979610209,-75.1434475347492,19106
METER EXPIRED CC,2017-02-17T11:43:00Z,36,PPA,39.956318,-75.198437,19104
METER EXPIRED,2017-03-07T09:14:00Z,26,PPA,40.037793,-75.144582,19141
METER EXPIRED,2017-03-15T10:43:00Z,26,PPA,40.037273,-75.14004,NA
METER EXPIRED CC,2017-01-11T12:37:00Z,36,PPA,39.9529771924062,-75.1934430781127,19104
OVER TIME LIMIT,2017-03-19T21:41:00Z,26,PPA,40.031275,-75.220298,19128
EXPIRED INSPECTION,2017-03-02T12:40:00Z,41,PPA,39.954862,-75.171795,19103
METER EXPIRED,2017-01-11T12:08:00Z,26,PPA,40.037957,-75.144595,19141
